企业名称,主页链接,年限,地址,交易数,主营业务
慈溪奥尔德电器有限公司,https://cixiard.1688.com/page/contactinfo.htm,3年,浙江宁波,"近90天成交笔数
2932
回头率
44%
综合服务分
4",其他取暖电器 | 夏季电器
揭阳市极速者电器有限公司,https://jisuzhe.1688.com/page/contactinfo.htm,1年,广东揭阳,"近90天成交笔数
46
回头率
34%
综合服务分
4.5",迷你电风扇 | 电动皂液器
深圳市宝安区一乐塑胶电器厂,https://shop4294k4x25y965.1688.com/page/contactinfo.htm,3年,广东深圳,"近90天成交笔数
1137
回头率
28%
综合服务分
4.5",迷你电风扇 | 夏季电器
桓台县盛春散热器厂,https://zbxinfeng.1688.com/page/contactinfo.htm,14年,山东淄博,"近90天成交笔数
1
回头率
0%
综合服务分
3",-
恒益讯科技(深圳)有限公司,https://shop8810706880i07.1688.com/page/contactinfo.htm,2年,广东深圳,"近90天成交笔数
297
回头率
24%
综合服务分
4.5",迷你电风扇 | 冬季电器 | 加湿器
揭阳空港区凤美永乐达电器厂,https://yongleda.1688.com/page/contactinfo.htm,1年,广东揭阳,"近90天成交笔数
38
回头率
39%
综合服务分
4.5",电吹风 | 冬季电器 | 夏季电器
中山市阿斯迪电器有限公司,https://shop5k9d1n0628877.1688.com/page/contactinfo.htm,3年,广东中山,"近90天成交笔数
98
回头率
10%
综合服务分
3.5",冬季电器 | 电风扇 | 夏季电器
茂名市电白区苏宇家用电器厂,https://shop658mm52719051.1688.com/page/contactinfo.htm,3年,广东茂名,"近90天成交笔数
24
回头率
25%
综合服务分
3",电陶炉 | 冬季电器 | 中式厨电
宁波艾格机器人科技有限公司,https://aigekeji.1688.com/page/contactinfo.htm,1年,浙江宁波,"近90天成交笔数
42
回头率
8%
综合服务分
3",迷你电风扇 | 冬季电器
慈溪市附海飞象电器厂,https://shop6521480017977.1688.com/page/contactinfo.htm,1年,浙江宁波,"近90天成交笔数
6
回头率
20%
综合服务分
3",冬季电器 | 电风扇 | 空调扇
慈溪市品上电器厂,https://pinshangdq.1688.com/page/contactinfo.htm,7年,浙江宁波,"近90天成交笔数
35
回头率
17%
综合服务分
3",冬季电器 | 电风扇
广州大海百货商行,https://shop1603358vr5226.1688.com/page/contactinfo.htm,2年,广东广州,"近90天成交笔数
44
回头率
27%
综合服务分
4",夏季电器 | 其他取暖电器
山东飞宝电器设备有限公司,https://shop7o586t8n0m540.1688.com/page/contactinfo.htm,1年,山东潍坊,"近90天成交笔数
0
回头率
0%
综合服务分
3",热风炉 | 通风机
德州汇宝自动化设备有限公司,https://shop135vj87852636.1688.com/page/contactinfo.htm,3年,山东德州,"近90天成交笔数
9
回头率
0%
综合服务分
3",工业风扇 | 热风炉
广东博创家居用品有限公司,https://gdbochuang.1688.com/page/contactinfo.htm,1年,广东揭阳,"近90天成交笔数
118
回头率
58%
综合服务分
4",夏季电器 | 冬季电器
山东友大机械制造有限公司,https://sdyouda.1688.com/page/contactinfo.htm,3年,山东济宁,"近90天成交笔数
0
回头率
0%
综合服务分
3",路面机械 | 热风炉 | 压实机械
寿光绿禾农业科技有限公司,https://shop9oq207670a788.1688.com/page/contactinfo.htm,3年,山东潍坊,"近90天成交笔数
106
回头率
46%
综合服务分
4.5",植保机械 | 热风炉 | 植物生长灯
揭阳空港经济区凤美滨逸电器厂,https://binyidianqi.1688.com/page/contactinfo.htm,2年,广东揭阳,"近90天成交笔数
229
回头率
16%
综合服务分
4",电吹风 | 夏季电器 | 冬季电器
义乌市康赢电子商务有限公司,https://shop943n262653093.1688.com/page/contactinfo.htm,3年,浙江金华,"近90天成交笔数
744
回头率
38%
综合服务分
4.5",冬季电器 | 电火锅 | 家用扫地机
深圳市拾趣设计有限公司,https://shop2179d22930023.1688.com/page/contactinfo.htm,2年,广东深圳,"近90天成交笔数
7
回头率
40%
综合服务分
3",冬季电器 | 防虫防蛀
潍坊宸德机械设备有限公司,https://chendewenkong.1688.com/page/contactinfo.htm,3年,山东潍坊,"近90天成交笔数
10
回头率
0%
综合服务分
3",通风机 | 农业用具 | 热风炉
广州大树电器商行,https://shop269i630103027.1688.com/page/contactinfo.htm,2年,广东广州,"近90天成交笔数
1675
回头率
39%
综合服务分
4.5",夏季电器 | 迷你电风扇
寿光民硕农业科技有限公司,https://shop645g0k2465g64.1688.com/page/contactinfo.htm,1年,山东潍坊,"近90天成交笔数
76
回头率
14%
综合服务分
4.5",植保机械 | 箱式干燥设备
河北万信采暖设备有限公司,https://hbwanxincainuan.1688.com/page/contactinfo.htm,4年,河北衡水,"近90天成交笔数
0
回头率
0%
综合服务分
3",-
慈溪市银富电子商务有限公司,https://shop26l214nx72tw0.1688.com/page/contactinfo.htm,3年,浙江宁波,"近90天成交笔数
191
回头率
26%
综合服务分
4",冬季电器 | 电热水龙头 | 空调扇
青州市昌浩温控设备厂,https://shop984v326g58992.1688.com/page/contactinfo.htm,4年,山东潍坊,"近90天成交笔数
9
回头率
0%
综合服务分
3",热风炉 | 农业用具 | 通风机
中山市黄圃镇双擎电器销售部,https://zsshuangqing.1688.com/page/contactinfo.htm,3年,广东中山,"近90天成交笔数
122
回头率
12%
综合服务分
4.5",手持杀菌灯 | 其他取暖电器
商丘方益能源科技有限公司,https://shop5121262231n12.1688.com/page/contactinfo.htm,1年,河南商丘,"近90天成交笔数
1
回头率
0%
综合服务分
3",发热垫
沧州春之韵电器制造有限公司,https://chunzhiyun18.1688.com/page/contactinfo.htm,4年,河北沧州,"近90天成交笔数
0
回头率
0%
综合服务分
3",其他取暖电器 | 家用采暖炉
山东泰安亿美达能源科技有限公司,https://ymd888.1688.com/page/contactinfo.htm,1年,山东泰安,"近90天成交笔数
0
回头率
0%
综合服务分
3",冬季电器 | 太阳能热水器
慈溪福迈电器有限公司,https://shop3x21995u602s4.1688.com/page/contactinfo.htm,2年,浙江宁波,"近90天成交笔数
22
回头率
0%
综合服务分
4",冬季电器 | 空气净化器 | 筷笼
赛亿电器集团有限公司,https://sydqjt.1688.com/page/contactinfo.htm,10年,浙江宁波,"近90天成交笔数
46
回头率
50%
综合服务分
4",电风扇 | USB风扇 | 冬季电器
广州新砺环保科技有限公司,https://shop7h75007377132.1688.com/page/contactinfo.htm,3年,广东广州,"近90天成交笔数
12
回头率
0%
综合服务分
3",热风炉 | 燃气锅炉
揭阳市妍美电器有限公司,https://shop45gs036730500.1688.com/page/contactinfo.htm,2年,广东揭阳,"近90天成交笔数
80
回头率
22%
综合服务分
4",电吹风 | 冬季电器 | 迷你电风扇
揭阳空港区溪南小头电器厂,https://shop9446g74786g90.1688.com/page/contactinfo.htm,1年,广东揭阳,"近90天成交笔数
278
回头率
23%
综合服务分
4.5",美发护发 | 夏季电器 | 冬季电器
义乌中维机电设备有限公司,https://ywzwjd.1688.com/page/contactinfo.htm,4年,浙江金华,"近90天成交笔数
73
回头率
25%
综合服务分
4",冬季电器 | 转换插座 | 热风炉
揭阳空港区万仕乐电器厂,https://shop9384267588702.1688.com/page/contactinfo.htm,1年,广东揭阳,"近90天成交笔数
359
回头率
42%
综合服务分
4",迷你电风扇 | 夏季电器
山东中瑞达机械科技有限公司,https://shop5a1q116741885.1688.com/page/contactinfo.htm,4年,山东潍坊,"近90天成交笔数
7
回头率
0%
综合服务分
3",通风机 | 热风炉
保定圣通散热器制造有限公司,https://shop1375722135657.1688.com/page/contactinfo.htm,8年,河北保定,"近90天成交笔数
1
回头率
0%
综合服务分
3",-
无锡百宏冷暖设备有限公司,https://beyhone.1688.com/page/contactinfo.htm,7年,江苏无锡,"近90天成交笔数
6
回头率
0%
综合服务分
3",冬季电器 | 品质生活
沧县观复电采暖设备厂,https://shop59o17o7089026.1688.com/page/contactinfo.htm,1年,河北沧州,"近90天成交笔数
14
回头率
29%
综合服务分
3",电热锅炉 | 电热板 | 电热器
宁波市富朗特电子科技有限公司,https://nbfulangte.1688.com/page/contactinfo.htm,1年,浙江宁波,"近90天成交笔数
33
回头率
26%
综合服务分
3",电风扇 | 冬季电器 | 垃圾桶
东莞市星辰电器贸易有限公司,https://shop1353431862318.1688.com/page/contactinfo.htm,9年,广东东莞,"近90天成交笔数
292
回头率
7%
综合服务分
4.5",其他厨房电器 | 中式厨电
潍坊汇众机电设备有限公司,https://shop1414518617830.1688.com/page/contactinfo.htm,7年,山东潍坊,"近90天成交笔数
1
回头率
0%
综合服务分
3",其他干燥设备 | 热风炉
慈溪市巨亨电器有限公司,https://zhdqc.1688.com/page/contactinfo.htm,19年,浙江宁波,"近90天成交笔数
816
回头率
38%
综合服务分
4.5",美发护发 | 夏季电器 | 冬季电器
宁波远游电器有限公司,https://jisongsj.1688.com/page/contactinfo.htm,10年,浙江宁波,"近90天成交笔数
381
回头率
36%
综合服务分
3.5",夏季电器 | 冬季电器
义乌市格至电器有限公司,https://shop2956661ye7725.1688.com/page/contactinfo.htm,1年,浙江金华,"近90天成交笔数
76
回头率
13%
综合服务分
4.5",洗衣机 | 电火锅 | 冬季电器
宁波通汇润达电子商务有限公司,https://shop4284633433z26.1688.com/page/contactinfo.htm,1年,浙江宁波,"近90天成交笔数
17
回头率
18%
综合服务分
4.5",保温杯 | 夏季电器 | 冬季电器
临朐国泰暖通设备有限公司,https://tonglvnuanqipian.1688.com/page/contactinfo.htm,7年,山东潍坊,"近90天成交笔数
34
回头率
50%
综合服务分
4",挂钩、粘钩 | 冬季电器
义乌市闵璟电子商务有限公司,https://shop110y727v743v3.1688.com/page/contactinfo.htm,1年,浙江金华,"近90天成交笔数
26
回头率
27%
综合服务分
4",冬季电器 | 转换插座 | 电风扇
邵阳市凯羽电器有限公司,https://shop84l74078zc813.1688.com/page/contactinfo.htm,1年,湖南邵阳,"近90天成交笔数
5
回头率
100%
综合服务分
3",冬季电器 | 电风扇
慈溪市万喜电器有限公司,https://shop23l448v77q510.1688.com/page/contactinfo.htm,3年,浙江宁波,"近90天成交笔数
11
回头率
20%
综合服务分
3",冬季电器
宁波布欧电器有限公司,https://ningbobuoudianqi.1688.com/page/contactinfo.htm,4年,浙江宁波,"近90天成交笔数
171
回头率
44%
综合服务分
3.5",冬季电器 | 空调扇 | 配件
盐城国科机械制造有限公司,https://ycgkjx.1688.com/page/contactinfo.htm,9年,江苏盐城,"近90天成交笔数
6
回头率
0%
综合服务分
3",电热器 | 电热圈
佛山市格林盈璐电器科技有限公司,https://greenyellow.1688.com/page/contactinfo.htm,6年,广东佛山,"近90天成交笔数
161
回头率
40%
综合服务分
3.5",夏季电器 | 防虫防蛀 | 冬季电器
慈溪市附海俊阳电器配件厂,https://shop1439571320836.1688.com/page/contactinfo.htm,6年,浙江宁波,"近90天成交笔数
5856
回头率
16%
综合服务分
4.5",电风扇 | 冬季电器 | 干衣机
慈溪市双羊电机制造有限公司,https://zhuwanxuan.1688.com/page/contactinfo.htm,6年,浙江宁波,"近90天成交笔数
1303
回头率
9%
综合服务分
3.5",电风扇 | 冬季电器 | 干衣机
济南万丰新能源开发有限公司,https://jnwfzj.1688.com/page/contactinfo.htm,13年,山东济南,"近90天成交笔数
1
回头率
0%
综合服务分
3",其他取暖电器 | 冬季电器
宁波高新区健坤电热技术有限公司,https://nbjankun.1688.com/page/contactinfo.htm,16年,浙江宁波,"近90天成交笔数
0
回头率
0%
综合服务分
3",其他取暖电器
宁波市科数电器有限公司,https://shop11q0v5p647201.1688.com/page/contactinfo.htm,1年,浙江宁波,"近90天成交笔数
7
回头率
17%
综合服务分
3",冬季电器 | 空调扇
沧州金冬美电器有限公司,https://liaiyun888.1688.com/page/contactinfo.htm,12年,河北沧州,"近90天成交笔数
0
回头率
0%
综合服务分
3",其他取暖电器 | 家用采暖炉
东莞市蓝澈净化科技有限公司,https://shop1365677a457t5.1688.com/page/contactinfo.htm,2年,广东东莞,"近90天成交笔数
43
回头率
14%
综合服务分
4",厨房净水 | 冬季电器
济南妤美电器有限公司,https://jinanyumeidianqi.1688.com/page/contactinfo.htm,2年,山东济南,"近90天成交笔数
5
回头率
0%
综合服务分
3",冬季电器 | 电源线
慈溪市拜尔电器厂,https://shop1487696717816.1688.com/page/contactinfo.htm,5年,浙江宁波,"近90天成交笔数
616
回头率
22%
综合服务分
5",冬季电器 | 电风扇 | 空调扇
深圳市同健电器科技有限公司,https://tonkey.1688.com/page/contactinfo.htm,8年,广东深圳,"近90天成交笔数
781
回头率
58%
综合服务分
4",发热垫 | 暖脚器
宁波宝工电器有限公司,https://cxbaogong.1688.com/page/contactinfo.htm,16年,浙江宁波,"近90天成交笔数
156
回头率
3%
综合服务分
4",热风炉 | 除湿机
宁波京升电器有限公司,https://jingshengdianqi.1688.com/page/contactinfo.htm,3年,浙江宁波,"近90天成交笔数
466
回头率
53%
综合服务分
5",冬季电器 | 家用电炸锅 | 空调扇
苏州筱蓓软件科技有限公司,https://shop697i0138z6091.1688.com/page/contactinfo.htm,3年,江苏苏州,"近90天成交笔数
355
回头率
52%
综合服务分
5",冬季电器 | 干电池 | 电风扇
宁津润汇商贸有限公司,https://shop2j6u573z82x01.1688.com/page/contactinfo.htm,4年,山东德州,"近90天成交笔数
0
回头率
0%
综合服务分
3",电热板 | 冬季电器
宁波睿隆电器科技有限公司,https://15257408558.1688.com/page/contactinfo.htm,2年,浙江宁波,"近90天成交笔数
1
回头率
0%
综合服务分
3",冬季电器 | 家居清洁 | 夏季电器
常州市邹风商贸有限公司,https://jsczzfsm.1688.com/page/contactinfo.htm,11年,江苏常州,"近90天成交笔数
4513
回头率
19%
综合服务分
4.5",电风扇 | 吊扇 | 冬季电器
慈溪市益芬电器厂,https://shop0251s62526rn4.1688.com/page/contactinfo.htm,1年,浙江宁波,"近90天成交笔数
4
回头率
0%
综合服务分
3",暖脚器 | 其他取暖电器
慈溪市诺威电器科技有限公司,https://shop4e3p837682q18.1688.com/page/contactinfo.htm,1年,浙江宁波,"近90天成交笔数
0
回头率
0%
综合服务分
3",冬季电器
北京福宁暖盈科技有限公司,https://bjfnny.1688.com/page/contactinfo.htm,1年,北京北京,"近90天成交笔数
2
回头率
0%
综合服务分
3",冬季电器 | 电热板
盐城新乔电热机械有限公司,https://shop5s71486683a02.1688.com/page/contactinfo.htm,1年,江苏盐城,"近90天成交笔数
17
回头率
21%
综合服务分
3",电热器 | 其他电热设备
宁波星连星电子有限公司,https://xlxdz2017.1688.com/page/contactinfo.htm,5年,浙江宁波,"近90天成交笔数
1146
回头率
19%
综合服务分
5",洗衣机 | 冬季电器 | 电风扇
杭州供销物资有限公司,https://hzgxwz.1688.com/page/contactinfo.htm,8年,浙江杭州,"近90天成交笔数
99
回头率
23%
综合服务分
4.5",冬季电器 | 电风扇 | 干手机
慈溪市嘉信电器有限公司,https://shop23461rn578304.1688.com/page/contactinfo.htm,3年,浙江宁波,"近90天成交笔数
957
回头率
13%
综合服务分
4",冬季电器 | 电风扇 | 空调扇
慈溪市心悦电器有限公司,https://shop6p17y9474c129.1688.com/page/contactinfo.htm,3年,浙江宁波,"近90天成交笔数
534
回头率
10%
综合服务分
3.5",电风扇 | 冬季电器 | 空调扇
贵州火焰山电器股份有限公司,https://hyslj.1688.com/page/contactinfo.htm,16年,贵州遵义,"近90天成交笔数
0
回头率
0%
综合服务分
3",冬季电器
佛山市默默科技有限公司,https://shop7421p88j281p4.1688.com/page/contactinfo.htm,2年,广东佛山,"近90天成交笔数
12
回头率
100%
综合服务分
3",冬季电器 | 电动牙刷
慈溪市奥朗电子科技有限公司,https://shop93097d62149d3.1688.com/page/contactinfo.htm,4年,浙江宁波,"近90天成交笔数
2333
回头率
35%
综合服务分
4.5",冬季电器 | 电风扇 | 空调扇
佛山川池智能科技有限公司,https://shop9421g5d74o498.1688.com/page/contactinfo.htm,3年,广东佛山,"近90天成交笔数
2400
回头率
41%
综合服务分
3.5",配件 | 空调 | 冬季电器
宁波万达电器仪表实业公司,https://nbwddq.1688.com/page/contactinfo.htm,10年,浙江宁波,"近90天成交笔数
7
回头率
40%
综合服务分
3",空调扇 | 冬季电器 | 电动牙刷
盐城市欣荣电热科技有限公司,https://ycxrdr.1688.com/page/contactinfo.htm,6年,江苏盐城,"近90天成交笔数
8
回头率
25%
综合服务分
3",电热器
宁波德萨电器制造有限公司,https://dekasen.1688.com/page/contactinfo.htm,3年,浙江宁波,"近90天成交笔数
5
回头率
25%
综合服务分
3",冬季电器 | 无叶扇 | 制冰机
义乌市紫漩电子商务商行,https://wujian067.1688.com/page/contactinfo.htm,2年,浙江金华,"近90天成交笔数
111
回头率
19%
综合服务分
4",电火锅 | 冬季电器 | 挂烫机
慈溪市磊嘉商贸有限公司,https://shop1466701862807.1688.com/page/contactinfo.htm,6年,浙江宁波,"近90天成交笔数
54
回头率
16%
综合服务分
4",冬季电器 | 挂烫机 | 电风扇
宁波市海曙高基万生工贸商行,https://shop1490763664384.1688.com/page/contactinfo.htm,5年,浙江宁波,"近90天成交笔数
3920
回头率
32%
综合服务分
4.5",冬季电器 | 电风扇 | 挂烫机
义乌市延腾贸易有限公司,https://shop7y8489u1k7586.1688.com/page/contactinfo.htm,1年,浙江金华,"近90天成交笔数
131
回头率
25%
综合服务分
4",冬季电器 | 西式厨电
深圳市诺博贸易有限公司,https://shop1467391313935.1688.com/page/contactinfo.htm,5年,广东深圳,"近90天成交笔数
650
回头率
28%
综合服务分
4",电热水壶 | 电火锅 | 电热杯
慈溪市观海卫怡然电器厂,https://shop19278480d6535.1688.com/page/contactinfo.htm,4年,浙江宁波,"近90天成交笔数
492
回头率
22%
综合服务分
5",夏季电器 | 冬季电器 | 足浴电器
慈溪市小雪电子商务有限公司,https://shop49622148l8221.1688.com/page/contactinfo.htm,1年,浙江宁波,"近90天成交笔数
3
回头率
0%
综合服务分
3",空调扇 | 冬季电器 | 品质生活
千石家电(中山)有限公司,https://shop64s069r3636h7.1688.com/page/contactinfo.htm,1年,广东中山,"近90天成交笔数
73
回头率
29%
综合服务分
4",野餐炉具 | 其他取暖电器
上海梦熬家居用品有限公司,https://mengaojiaju.1688.com/page/contactinfo.htm,4年,上海上海,"近90天成交笔数
633
回头率
63%
综合服务分
4.5",冬季电器 | 保温杯 | 酸奶机
慈溪市逸捷电子商务有限公司,https://shop6087a4m860096.1688.com/page/contactinfo.htm,1年,浙江宁波,"近90天成交笔数
135
回头率
19%
综合服务分
4",冬季电器 | 电风扇
宁波市勋程电器有限公司,https://xuncheng.1688.com/page/contactinfo.htm,3年,浙江宁波,"近90天成交笔数
2737
回头率
27%
综合服务分
4.5",电风扇 | 冬季电器 | 家用电炸锅
宁波天象电器有限公司,https://skyelt.1688.com/page/contactinfo.htm,6年,浙江宁波,"近90天成交笔数
10
回头率
13%
综合服务分
3",冬季电器 | 乔木
四川好安亿电器有限公司,https://sckaks.1688.com/page/contactinfo.htm,6年,四川成都,"近90天成交笔数
195
回头率
9%
综合服务分
4",电风扇 | 冬季电器
临沂市兰山区剑豪电子商务店,https://shop532290j5wz4w7.1688.com/page/contactinfo.htm,1年,山东临沂,"近90天成交笔数
218
回头率
8%
综合服务分
4",热风炉 | 仿真绿植 | 墙贴
揭阳市从一家居用品有限公司,https://shop25316r3091r68.1688.com/page/contactinfo.htm,1年,广东揭阳,"近90天成交笔数
1388
回头率
25%
综合服务分
4.5",夏季电器 | 冬季电器
平阳县新耐特电子商务商行,https://shop323c478098c62.1688.com/page/contactinfo.htm,1年,浙江温州,"近90天成交笔数
47
回头率
12%
综合服务分
4",冬季电器 | 迷你电风扇 | 筋膜枪
深圳市鼎立鑫贸易有限公司,https://ldx8099.1688.com/page/contactinfo.htm,1年,广东深圳,"近90天成交笔数
302
回头率
42%
综合服务分
4.5",电烤箱 | 冬季电器 | 夏季电器
义乌市韩今厨房用具有限公司,https://shop19d3227p8z222.1688.com/page/contactinfo.htm,1年,浙江金华,"近90天成交笔数
517
回头率
18%
综合服务分
4.5",电火锅 | 锅具套装 | 冬季电器
绍兴上虞凌睿电器商行,https://shop1461083532956.1688.com/page/contactinfo.htm,6年,浙江绍兴,"近90天成交笔数
1849
回头率
17%
综合服务分
4.5",电风扇 | 夏季电器 | 挂烫机
广州西奥多科技有限公司,https://theodoortech.1688.com/page/contactinfo.htm,3年,广东广州,"近90天成交笔数
4
回头率
0%
综合服务分
3",风幕机 | 冬季电器
东莞市樟木头联合电器经营部,https://shop3h89w58802c84.1688.com/page/contactinfo.htm,3年,广东东莞,"近90天成交笔数
84
回头率
28%
综合服务分
4",电风扇 | 空调 | 冬季电器
揭阳空港区京冈八月电器厂,https://shop4y6510183ld02.1688.com/page/contactinfo.htm,1年,广东揭阳,"近90天成交笔数
1963
回头率
16%
综合服务分
4.5",夏季电器 | 电吹风 | 冬季电器
慈溪市立清电器厂,https://shop18l15i248g229.1688.com/page/contactinfo.htm,3年,浙江宁波,"近90天成交笔数
322
回头率
30%
综合服务分
4",厨房净水 | 电热水龙头
揭阳市聚优加电器有限公司,https://shop4v659869v0002.1688.com/page/contactinfo.htm,1年,广东揭阳,"近90天成交笔数
41
回头率
8%
综合服务分
5",电吹风 | 接线插座 | 冬季电器
郑州老李科技有限公司,https://shop1492534692712.1688.com/page/contactinfo.htm,5年,河南郑州,"近90天成交笔数
7
回头率
0%
综合服务分
3",风幕机 | 冬季电器 | 品质生活
慈溪市婉怡电器有限公司,https://shop63d1978t05e52.1688.com/page/contactinfo.htm,1年,浙江宁波,"近90天成交笔数
4
回头率
33%
综合服务分
3",冬季电器 | 夏季电器
宁波薏凝电子商务有限公司,https://shop320996b6s53s2.1688.com/page/contactinfo.htm,3年,浙江宁波,"近90天成交笔数
74
回头率
21%
综合服务分
4.5",冬季电器 | 迷你电风扇
宁波沁宇工业产品设计有限公司,https://shop9288t921o9204.1688.com/page/contactinfo.htm,2年,浙江宁波,"近90天成交笔数
3289
回头率
41%
综合服务分
4.5",电风扇 | 冬季电器 | 无叶扇
温州升耀贸易有限公司,https://wzsy19588036817.1688.com/page/contactinfo.htm,1年,浙江温州,"近90天成交笔数
18
回头率
15%
综合服务分
4",冬季电器 | 电火锅 | 加湿器
义乌市亿皓电器有限公司,https://shop18c3942261939.1688.com/page/contactinfo.htm,1年,浙江金华,"近90天成交笔数
107
回头率
25%
综合服务分
4",电火锅 | 挂烫机 | 中式厨电
义乌市准阔日用百货有限公司,https://ywzk168.1688.com/page/contactinfo.htm,6年,浙江金华,"近90天成交笔数
584
回头率
21%
综合服务分
4",晴雨伞 | 冬季电器 | 雨伞
慈溪市柔漫电器厂,https://roumandianqi.1688.com/page/contactinfo.htm,6年,浙江宁波,"近90天成交笔数
40
回头率
23%
综合服务分
3.5",冬季电器 | 电玩设备 | 电风扇
宁波时荣电器科技有限公司,https://sungroy.1688.com/page/contactinfo.htm,1年,浙江宁波,"近90天成交笔数
2
回头率
0%
综合服务分
3",冬季电器
慈溪市翰杰电器有限公司,https://shop02j102k988462.1688.com/page/contactinfo.htm,3年,浙江宁波,"近90天成交笔数
19
回头率
23%
综合服务分
3",其他取暖电器 | 干衣机
衡水众兴采暖设备有限公司,https://shop9k43567b007d2.1688.com/page/contactinfo.htm,1年,河北衡水,"近90天成交笔数
0
回头率
0%
综合服务分
3",-
山东瑞品电子商务有限公司,https://shop5h6h2b0259264.1688.com/page/contactinfo.htm,1年,山东临沂,"近90天成交笔数
0
回头率
0%
综合服务分
3",冬季电器 | 其他取暖电器
台州市曼尔悦进出口有限公司,https://shop7053257108297.1688.com/page/contactinfo.htm,1年,浙江台州,"近90天成交笔数
1
回头率
0%
综合服务分
3",冬季电器 | 农业用具 | 热风炉
慈溪斯锐电器厂,https://shop9781328r61754.1688.com/page/contactinfo.htm,3年,浙江宁波,"近90天成交笔数
262
回头率
13%
综合服务分
4",冬季电器 | USB风扇 | 空调扇
揭阳空港经济区美迅电器厂,https://594038836.1688.com/page/contactinfo.htm,4年,广东揭阳,"近90天成交笔数
1596
回头率
35%
综合服务分
5",夏季电器 | 冬季电器
青州市森禾温控设备有限公司,https://shwksb.1688.com/page/contactinfo.htm,5年,山东潍坊,"近90天成交笔数
0
回头率
0%
综合服务分
3",工业风扇 | 热风炉
福安市诺威电子商务有限公司,https://shop51ivr1v932993.1688.com/page/contactinfo.htm,1年,福建宁德,"近90天成交笔数
7
回头率
17%
综合服务分
3",家用吸尘器 | 家居清洁
上海芮庚环保科技有限公司,https://yisimeinuantong.1688.com/page/contactinfo.htm,2年,上海上海,"近90天成交笔数
7
回头率
25%
综合服务分
3",其他水暖五金 | 隔热材料
河北暖赫电子科技有限公司,https://shop42ug2g1175405.1688.com/page/contactinfo.htm,4年,河北石家庄,"近90天成交笔数
10
回头率
50%
综合服务分
3",电热线 | 其他取暖电器
山东克勒斯机械有限公司,https://kelesi.1688.com/page/contactinfo.htm,4年,山东济宁,"近90天成交笔数
0
回头率
0%
综合服务分
3",拖拉机 | 其他取暖电器
宁波凯明威电子科技有限公司,https://shop08u2686mu1000.1688.com/page/contactinfo.htm,2年,浙江宁波,"近90天成交笔数
0
回头率
0%
综合服务分
3",铝及铝合金材 | 户外花架
深圳市摩古科技有限公司,https://shop13255g9de1324.1688.com/page/contactinfo.htm,2年,广东深圳,"近90天成交笔数
110
回头率
34%
综合服务分
4.5",电烤箱 | 家用电炸锅 | 冬季电器
平阳县颖宝电子商务商行,https://shop40h0475z55460.1688.com/page/contactinfo.htm,2年,浙江温州,"近90天成交笔数
1772
回头率
36%
综合服务分
4.5",美发护发 | 脱毛/剃毛器
郑州老李商贸有限公司,https://xiaoduo.1688.com/page/contactinfo.htm,7年,河南郑州,"近90天成交笔数
1
回头率
0%
综合服务分
3",风幕机 | 冬季电器 | 除湿机
瑞安市风调雨顺电子商务商行,https://shop7i99y8714p547.1688.com/page/contactinfo.htm,2年,浙江温州,"近90天成交笔数
76
回头率
32%
综合服务分
4.5",美发护发 | 冬季电器
浙江龙剑电子有限公司,https://longjiandz.1688.com/page/contactinfo.htm,15年,浙江金华,"近90天成交笔数
29
回头率
22%
综合服务分
4",夏季电器 | 其他取暖电器
深圳市鼎聚宝科技有限公司,https://shop9y600099mb595.1688.com/page/contactinfo.htm,3年,广东深圳,"近90天成交笔数
40
回头率
35%
综合服务分
4",空气净化器 | 车载电器
焕朵拉(广州)形象设计中心,https://shop675b0412445c1.1688.com/page/contactinfo.htm,1年,广东广州,"近90天成交笔数
96
回头率
6%
综合服务分
3",围裙、袖套
深圳市卡乐里科技有限公司,https://kalelir.1688.com/page/contactinfo.htm,2年,广东深圳,"近90天成交笔数
11
回头率
10%
综合服务分
3",香薰机 | 加湿器 | 冬季电器
义乌市品固工艺品厂,https://shop82758g3213681.1688.com/page/contactinfo.htm,1年,浙江金华,"近90天成交笔数
11
回头率
25%
综合服务分
3",美发护发 | 冬季电器 | 筋膜枪
宁波市华米电器有限公司,https://huamii.1688.com/page/contactinfo.htm,1年,浙江宁波,"近90天成交笔数
5
回头率
0%
综合服务分
3",冬季电器 | 空调扇 | 干衣机
义乌市御帅电器有限公司,https://shop2565236571524.1688.com/page/contactinfo.htm,2年,浙江金华,"近90天成交笔数
40
回头率
12%
综合服务分
3",中式厨电 | 冬季电器 | 品质生活
揭阳空港区凤美飞科迪电器厂,https://shop677e5l3170s41.1688.com/page/contactinfo.htm,1年,广东揭阳,"近90天成交笔数
150
回头率
12%
综合服务分
4.5",电吹风 | 冬季电器 | USB风扇
慈溪市隆维电器有限公司,https://cclongwei.1688.com/page/contactinfo.htm,2年,浙江宁波,"近90天成交笔数
119
回头率
11%
综合服务分
3.5",冬季电器 | 品质生活 | 电风扇
济南鑫艾迪电器有限公司,https://xinaididianqi.1688.com/page/contactinfo.htm,7年,山东济南,"近90天成交笔数
12
回头率
29%
综合服务分
3",其他取暖电器 | 电风扇
沧州格尔美电器有限公司,https://czgeermei.1688.com/page/contactinfo.htm,8年,河北沧州,"近90天成交笔数
0
回头率
0%
综合服务分
3",其他取暖电器 | 家用采暖炉
